id,name,surname,height,age,city
0,Larry,Rich,152,34,Bergamo
1,Larry,Rice,188,36,Bologna
2,James,Rodgers,157,36,Bologna
3,Stephanie,Villanueva,161,45,Milano
4,Dawn,Oneill,150,48,Bolzano
5,Katherine,Villanueva,182,42,Venezia
6,Michael,Fox,177,39,Bologna
7,Beth,Lopez,162,41,Verona
8,Jason,Rice,188,42,Milano
9,Erica,Lopez,152,49,Bolzano
10,Dawn,Rodgers,188,31,Bergamo
11,Michael,Rice,182,31,Venezia
12,Stephanie,Rich,173,44,Bergamo
13,Beth,Fox,152,36,Brescia
14,James,Villanueva,188,44,Bergamo
15,Dawn,Lopez,173,31,Verona
16,Katherine,Garrett,173,41,Venezia
17,John,Rice,188,42,Bolzano
18,James,Rich,177,36,Torino
19,Erica,Villanueva,161,44,Verona
20,Erica,Villanueva,177,42,Torino
21,John,Rodgers,188,48,Torino
22,James,Snyder,161,44,Milano
23,Erica,Garrett,157,45,Brescia
24,Jason,Oneill,169,45,Bolzano
25,James,Oneill,157,49,Brescia
26,Larry,Oneill,188,39,Milano
27,Jason,Atkins,152,44,Rovereto
28,Stephanie,Snyder,157,31,Bergamo
29,Larry,Rich,162,49,Rovereto
30,Larry,Rodgers,162,41,Torino
31,Dawn,Garrett,162,49,Bologna
32,Katherine,Lopez,162,49,Bergamo
33,James,Rodgers,173,48,Rovereto
34,Jason,Fox,182,36,Bologna
35,Larry,Rice,173,36,Brescia
36,Stephanie,Atkins,177,48,Bologna
37,Erica,Lopez,169,44,Brescia
38,Michael,Villanueva,188,39,Brescia
39,Stephanie,Fox,169,48,Venezia
40,Dawn,Rodgers,162,31,Bolzano
41,Katherine,Garrett,173,44,Bergamo
42,Katherine,Oneill,177,45,Bologna
43,James,Snyder,188,31,Torino
44,Michael,Villanueva,182,34,Milano
45,Erica,Oneill,150,31,Venezia
46,Dawn,Villanueva,177,34,Trento
47,Beth,Rice,150,34,Rovereto
48,Jason,Lopez,152,39,Bolzano
49,Katherine,Rich,161,39,Milano
50,Beth,Garrett,169,48,Trento
51,Larry,Rice,161,41,Bolzano
52,John,Garrett,150,34,Verona
53,Dawn,Snyder,157,41,Verona
54,Larry,Fox,162,36,Venezia
55,Dawn,Rodgers,182,42,Venezia
56,Katherine,Snyder,161,31,Trento
57,Beth,Rice,150,31,Verona
58,Stephanie,Oneill,162,44,Milano
59,Katherine,Villanueva,182,45,Venezia
60,Beth,Rodgers,162,31,Milano
61,Beth,Atkins,150,49,Verona
62,Jason,Fox,188,36,Torino
63,Beth,Rodgers,169,41,Bolzano
64,James,Rice,152,34,Verona
65,Erica,Rodgers,161,44,Bolzano
66,Erica,Lopez,161,41,Venezia
67,John,Rich,169,39,Bolzano
68,Katherine,Rich,169,41,Bergamo
69,Beth,Rice,188,34,Milano
70,Katherine,Rich,177,31,Milano
71,Katherine,Garrett,173,36,Milano
72,Stephanie,Villanueva,150,39,Milano
73,John,Rodgers,161,49,Torino
74,Jason,Rodgers,182,49,Bolzano
75,Erica,Garrett,169,49,Torino
76,Beth,Rodgers,188,45,Bologna
77,Dawn,Snyder,162,36,Brescia
78,Jason,Oneill,169,48,Bologna
79,Dawn,Snyder,188,42,Torino
80,James,Fox,161,42,Milano
81,Stephanie,Atkins,150,31,Torino
82,Dawn,Rice,150,39,Torino
83,Erica,Oneill,173,36,Bergamo
84,Erica,Fox,169,44,Brescia
85,Stephanie,Atkins,173,39,Torino
86,Dawn,Rice,182,45,Bergamo
87,Jason,Fox,162,49,Torino
88,Jason,Rice,173,49,Venezia
89,Stephanie,Rice,182,39,Trento
90,Stephanie,Rodgers,162,44,Torino
91,Dawn,Garrett,182,48,Bologna
92,Jason,Garrett,173,41,Bolzano
93,Dawn,Lopez,169,41,Trento
94,Beth,Snyder,177,34,Venezia
95,John,Oneill,150,42,Bolzano
96,James,Snyder,150,41,Venezia
97,Beth,Rodgers,162,42,Bologna
98,John,Garrett,188,45,Bologna
99,Jason,Atkins,177,42,Bologna
100,Katherine,Oneill,177,48,Venezia
101,Dawn,Snyder,177,48,Venezia
102,John,Atkins,157,48,Bergamo
103,Katherine,Atkins,157,39,Rovereto
104,Beth,Villanueva,152,36,Venezia
