id,name,surname,height,age,city
0,Erica,Fox,182,31,Bergamo
1,Katherine,Oneill,161,44,Venezia
2,Larry,Rodgers,188,42,Venezia
3,Erica,Rich,152,34,Milano
4,Katherine,Garrett,162,48,Venezia
5,Beth,Rich,157,49,Brescia
6,James,Rich,177,44,Bergamo
7,Jason,Garrett,150,45,Trento
8,John,Oneill,182,48,Trento
9,Michael,Snyder,161,34,Verona
10,James,Lopez,169,34,Milano
11,James,Oneill,182,41,Torino
12,Dawn,Rodgers,173,34,Bologna
13,Beth,Rodgers,188,36,Verona
14,Michael,Rich,188,42,Bologna
15,John,Villanueva,152,41,Bergamo
16,Michael,Atkins,162,31,Venezia
17,Jason,Rodgers,173,44,Trento
18,Stephanie,Snyder,169,41,Milano
19,Beth,Fox,188,44,Brescia
20,Stephanie,Lopez,157,45,Bologna
21,Larry,Snyder,182,39,Verona
22,Katherine,Oneill,177,48,Trento
23,Erica,Snyder,157,45,Venezia
24,Erica,Lopez,169,34,Brescia
25,Katherine,Snyder,169,31,Verona
26,Michael,Garrett,177,42,Torino
27,Dawn,Rodgers,162,49,Verona
28,Michael,Villanueva,177,34,Bolzano
29,Beth,Oneill,188,42,Brescia
30,Michael,Rich,169,48,Rovereto
31,Michael,Oneill,150,45,Bergamo
32,James,Rich,150,44,Bologna
33,John,Fox,182,36,Verona
34,John,Fox,162,36,Verona
35,Dawn,Snyder,162,41,Venezia
36,Katherine,Lopez,150,36,Rovereto
37,Jason,Oneill,162,36,Milano
38,Dawn,Lopez,169,48,Trento
39,James,Rich,177,34,Trento
40,Dawn,Fox,173,45,Torino
41,Michael,Lopez,150,34,Torino
42,James,Oneill,150,31,Bolzano
43,Stephanie,Snyder,173,44,Brescia
44,Beth,Rice,150,34,Trento
45,Katherine,Oneill,157,36,Milano
46,Jason,Atkins,152,34,Bologna
47,Katherine,Rice,152,49,Torino
48,Michael,Rich,173,36,Torino
49,Stephanie,Garrett,188,36,Bergamo
50,Dawn,Rice,188,34,Milano
51,James,Fox,173,42,Brescia
52,Erica,Atkins,182,36,Trento
53,Michael,Lopez,173,39,Bolzano
54,Katherine,Villanueva,182,42,Bologna
55,Dawn,Oneill,150,42,Venezia
56,John,Lopez,182,34,Trento
57,James,Rodgers,150,44,Trento
58,James,Lopez,161,48,Verona
59,Dawn,Rich,177,39,Verona
60,Stephanie,Oneill,162,34,Verona
61,Katherine,Lopez,173,39,Brescia
62,James,Fox,173,48,Venezia
63,Katherine,Garrett,150,41,Torino
64,Larry,Villanueva,157,49,Venezia
65,Dawn,Rice,150,36,Trento
66,James,Atkins,177,45,Milano
67,Larry,Garrett,182,41,Bergamo
68,Larry,Rodgers,152,41,Milano
69,John,Snyder,188,34,Bolzano
70,Jason,Garrett,161,39,Torino
71,Michael,Rich,162,45,Bolzano
72,Jason,Lopez,177,34,Trento
73,Larry,Fox,162,36,Verona
74,Beth,Snyder,177,31,Milano
75,Larry,Rich,162,49,Trento
76,John,Snyder,173,45,Venezia
77,James,Snyder,182,42,Verona
78,Stephanie,Rich,150,41,Trento
79,Dawn,Oneill,161,39,Bologna
80,Michael,Oneill,177,41,Bologna
81,Beth,Fox,152,45,Torino
82,Beth,Atkins,173,39,Trento
83,James,Atkins,157,39,Milano
84,John,Fox,177,44,Bologna
85,Erica,Rice,173,36,Verona
86,Stephanie,Villanueva,177,42,Bolzano
87,Larry,Rice,173,45,Torino
88,Erica,Villanueva,169,48,Trento
89,Erica,Garrett,169,42,Rovereto
90,Beth,Villanueva,173,49,Torino
91,Erica,Atkins,182,39,Bologna
92,James,Atkins,177,39,Rovereto
93,Stephanie,Snyder,157,42,Rovereto
94,John,Fox,150,39,Bolzano
95,Katherine,Snyder,188,44,Venezia
96,Erica,Oneill,152,49,Verona
97,Stephanie,Rodgers,150,42,Bologna
98,Erica,Garrett,161,42,Bologna
99,Stephanie,Atkins,169,44,Milano
100,Dawn,Rich,157,36,Verona
101,Erica,Lopez,177,49,Bologna
102,Stephanie,Fox,150,48,Bologna
103,Beth,Rodgers,161,34,Venezia
104,Stephanie,Garrett,169,41,Rovereto
105,Erica,Oneill,150,39,Trento
106,Dawn,Rice,177,48,Bolzano
107,Michael,Rice,169,45,Milano
108,Erica,Fox,182,31,Torino
109,John,Lopez,162,36,Rovereto
110,Katherine,Snyder,182,41,Milano
111,John,Rice,188,31,Brescia
112,Katherine,Rich,182,42,Bologna
113,Erica,Rich,177,39,Brescia
114,Dawn,Garrett,157,49,Bolzano
115,Beth,Lopez,161,31,Milano
116,Stephanie,Fox,182,34,Milano
117,Katherine,Garrett,157,49,Venezia
118,Erica,Rice,152,45,Rovereto
119,James,Oneill,169,41,Trento
120,Jason,Villanueva,161,36,Bolzano
121,Stephanie,Villanueva,173,34,Torino
122,Beth,Garrett,161,42,Venezia
123,Michael,Garrett,161,44,Rovereto
124,Michael,Atkins,157,36,Bergamo
125,Michael,Atkins,150,48,Rovereto
126,Erica,Lopez,152,42,Brescia
127,Beth,Villanueva,182,42,Brescia
128,Katherine,Oneill,169,36,Torino
129,John,Rodgers,152,45,Brescia
130,Erica,Snyder,152,31,Torino
131,Erica,Rice,161,36,Bologna
132,Erica,Fox,162,42,Brescia
133,Michael,Atkins,152,48,Verona
134,Stephanie,Rodgers,188,39,Verona
135,Dawn,Rich,169,49,Bolzano
136,Katherine,Villanueva,188,42,Rovereto
137,Jason,Oneill,173,39,Milano
138,Michael,Villanueva,161,48,Verona
139,Larry,Rice,169,44,Bergamo
140,James,Rice,188,41,Brescia
141,Michael,Rodgers,169,34,Brescia
142,John,Atkins,188,45,Trento
143,Erica,Rodgers,173,42,Venezia
144,Michael,Garrett,188,36,Rovereto
145,Katherine,Rice,162,45,Brescia
146,Larry,Rice,152,41,Bergamo
147,Jason,Rice,150,36,Bolzano
148,Larry,Snyder,173,42,Milano
149,Erica,Lopez,188,31,Bologna
150,Michael,Rice,152,49,Bolzano
151,Michael,Lopez,157,42,Brescia
152,Erica,Rich,188,45,Rovereto
153,John,Rodgers,177,34,Torino
154,Dawn,Oneill,150,49,Verona
155,John,Atkins,152,48,Bologna
156,Dawn,Rice,162,45,Milano
157,Erica,Lopez,177,39,Bologna
158,Jason,Rice,162,44,Torino
159,Dawn,Garrett,169,42,Bologna
160,Jason,Garrett,173,48,Brescia
161,Beth,Atkins,162,49,Bergamo
162,John,Rich,162,45,Milano
163,Larry,Villanueva,188,34,Bergamo
164,Dawn,Rice,169,49,Verona
165,Michael,Atkins,152,48,Bologna
166,James,Lopez,161,41,Bologna
167,Beth,Oneill,162,48,Rovereto
168,John,Rich,182,31,Verona
169,Larry,Rodgers,188,44,Venezia
170,Beth,Villanueva,173,42,Milano
171,Katherine,Villanueva,157,36,Torino
172,Larry,Rodgers,152,44,Verona
173,Jason,Atkins,182,41,Milano
174,Larry,Atkins,162,45,Trento
175,Stephanie,Rice,177,39,Bergamo
176,Jason,Lopez,173,42,Milano
177,Larry,Fox,162,49,Bergamo
178,Jason,Atkins,150,45,Verona
179,Michael,Lopez,173,48,Venezia
180,Beth,Atkins,162,48,Brescia
181,Jason,Snyder,177,45,Rovereto
182,Jason,Garrett,150,31,Bologna
183,James,Garrett,150,39,Milano
184,Dawn,Rich,177,34,Milano
185,Dawn,Rice,182,31,Rovereto
186,Erica,Atkins,162,41,Bologna
187,Beth,Atkins,157,42,Rovereto
188,Stephanie,Atkins,182,36,Bologna
189,Larry,Rice,169,44,Torino
190,Katherine,Rice,152,44,Milano
191,Michael,Atkins,182,45,Brescia
192,Stephanie,Atkins,188,44,Bologna
193,Erica,Rice,157,39,Torino
194,Katherine,Rice,173,39,Bergamo
195,Larry,Oneill,161,42,Milano
196,Stephanie,Villanueva,150,34,Milano
197,Dawn,Atkins,173,45,Bergamo
198,Erica,Lopez,182,49,Rovereto
199,Jason,Rodgers,173,49,Verona
