id,name,surname,height,age,city
0,Larry,Garrett,161,44,Brescia
1,Larry,Villanueva,188,48,Bergamo
2,James,Oneill,177,45,Verona
3,Dawn,Lopez,169,48,Verona
4,John,Rice,162,42,Venezia
5,Michael,Oneill,152,45,Bologna
6,Stephanie,Atkins,152,39,Milano
7,Dawn,Oneill,157,48,Venezia
8,Michael,Fox,161,31,Bergamo
9,Michael,Rich,177,41,Bologna
10,James,Rice,173,42,Brescia
11,Dawn,Garrett,173,34,Brescia
12,Larry,Atkins,177,49,Milano
13,Katherine,Fox,162,44,Torino
14,Dawn,Rice,152,45,Torino
15,John,Snyder,161,44,Trento
16,Dawn,Fox,157,44,Verona
17,Dawn,Atkins,177,31,Rovereto
18,Dawn,Rich,152,41,Verona
19,Michael,Villanueva,182,44,Milano
20,Katherine,Rice,162,39,Verona
21,Stephanie,Garrett,150,39,Venezia
22,Dawn,Rodgers,182,39,Bologna
23,Stephanie,Garrett,169,34,Brescia
24,John,Snyder,157,48,Milano
25,Stephanie,Oneill,162,44,Venezia
26,Dawn,Fox,157,36,Bolzano
27,Beth,Rice,161,45,Bologna
28,Larry,Atkins,162,49,Bologna
29,Erica,Garrett,177,44,Rovereto
30,John,Rich,173,36,Verona
31,Larry,Oneill,177,31,Bolzano
32,John,Rich,169,39,Torino
33,Katherine,Villanueva,162,34,Bologna
34,Katherine,Villanueva,152,41,Torino
35,John,Rich,169,36,Bolzano
36,James,Fox,173,42,Milano
37,Katherine,Snyder,173,45,Bolzano
38,Beth,Rodgers,182,44,Milano
39,Michael,Snyder,152,41,Trento
40,Katherine,Oneill,169,44,Bologna
41,Stephanie,Snyder,162,45,Venezia
42,John,Snyder,173,34,Brescia
43,Erica,Garrett,152,36,Trento
44,Erica,Atkins,161,49,Bergamo
45,Beth,Lopez,173,48,Milano
46,Dawn,Rice,161,48,Rovereto
47,Stephanie,Oneill,177,44,Milano
48,Katherine,Fox,173,42,Bergamo
49,James,Oneill,169,41,Bergamo
50,Dawn,Villanueva,177,36,Verona
51,Larry,Oneill,188,45,Milano
52,Michael,Rodgers,177,36,Rovereto
53,Jason,Oneill,188,41,Verona
54,James,Oneill,150,34,Bologna
55,Beth,Fox,177,41,Trento
56,Beth,Snyder,157,34,Bologna
57,Beth,Garrett,150,34,Rovereto
58,Erica,Rodgers,162,31,Venezia
59,Erica,Fox,177,31,Brescia
60,Katherine,Lopez,161,48,Milano
61,Katherine,Fox,182,44,Rovereto
62,Katherine,Villanueva,157,41,Bologna
63,Michael,Rice,177,42,Verona
64,Larry,Lopez,161,45,Milano
65,John,Atkins,152,42,Trento
66,Stephanie,Fox,173,42,Bolzano
67,Dawn,Atkins,173,36,Venezia
68,Michael,Rich,173,41,Bergamo
69,Larry,Lopez,177,45,Rovereto
70,Erica,Snyder,169,31,Bergamo
71,Beth,Garrett,150,42,Torino
72,Beth,Oneill,177,45,Bolzano
73,Erica,Villanueva,188,48,Verona
74,Dawn,Villanueva,169,31,Milano
75,Jason,Villanueva,173,36,Bolzano
76,Stephanie,Rice,177,39,Bergamo
77,James,Villanueva,150,44,Torino
78,Beth,Atkins,161,48,Venezia
79,Beth,Rich,150,48,Trento
80,Larry,Fox,169,36,Bologna
81,John,Snyder,161,31,Rovereto
82,Jason,Rice,177,36,Rovereto
83,Larry,Atkins,182,31,Bergamo
84,Jason,Oneill,162,49,Brescia
85,Jason,Villanueva,188,42,Torino
86,Michael,Oneill,177,41,Verona
87,John,Rice,161,49,Trento
88,Dawn,Garrett,188,45,Verona
89,Larry,Snyder,173,31,Rovereto
90,Beth,Garrett,161,44,Brescia
91,Erica,Villanueva,161,49,Trento
92,Stephanie,Rich,182,31,Verona
93,Beth,Snyder,152,42,Bolzano
94,John,Rice,152,44,Trento
95,Larry,Rodgers,161,42,Trento
96,Erica,Rodgers,150,45,Venezia
97,John,Rodgers,157,34,Milano
98,Michael,Atkins,157,44,Torino
99,Dawn,Lopez,161,34,Bolzano
100,James,Lopez,188,45,Rovereto
101,James,Rodgers,157,41,Brescia
102,Katherine,Garrett,169,42,Torino
103,Dawn,Garrett,182,49,Torino
104,Larry,Oneill,182,49,Bergamo
105,Larry,Lopez,182,34,Venezia
106,Erica,Snyder,161,36,Torino
107,Katherine,Rodgers,162,42,Brescia
108,Jason,Rodgers,182,36,Rovereto
109,Erica,Garrett,177,49,Brescia
110,Michael,Oneill,177,49,Bologna
111,Katherine,Garrett,157,48,Torino
112,Larry,Snyder,152,41,Bologna
113,James,Rich,157,48,Rovereto
114,Jason,Fox,188,31,Verona
115,Erica,Rodgers,177,36,Trento
116,Larry,Rodgers,169,31,Trento
117,Stephanie,Garrett,169,31,Bolzano
118,John,Garrett,169,45,Verona
119,Larry,Villanueva,161,42,Verona
120,Jason,Lopez,169,49,Rovereto
121,James,Snyder,161,31,Trento
122,James,Fox,157,44,Rovereto
123,Erica,Fox,173,45,Torino
124,Erica,Villanueva,188,45,Bergamo
125,Beth,Rich,162,45,Venezia
126,James,Villanueva,150,31,Bolzano
127,Beth,Snyder,169,48,Venezia
128,Katherine,Atkins,161,41,Rovereto
129,John,Fox,152,34,Torino
130,Katherine,Rich,173,42,Milano
131,John,Fox,173,41,Verona
132,Dawn,Atkins,157,36,Verona
133,Erica,Fox,182,34,Brescia
134,Erica,Oneill,161,48,Rovereto
135,James,Rice,161,49,Bologna
136,Katherine,Rich,162,42,Brescia
137,Stephanie,Lopez,150,34,Bolzano
138,Dawn,Atkins,161,39,Torino
139,Dawn,Rich,173,49,Rovereto
140,Stephanie,Garrett,173,41,Venezia
141,Jason,Snyder,177,48,Bologna
142,James,Rice,169,45,Verona
143,James,Atkins,162,36,Torino
144,Stephanie,Villanueva,157,45,Trento
145,Michael,Lopez,173,42,Venezia
146,Dawn,Lopez,173,41,Torino
147,Beth,Rodgers,150,41,Brescia
148,Larry,Snyder,177,39,Milano
149,Dawn,Villanueva,169,41,Milano
150,Dawn,Oneill,188,39,Bologna
151,Beth,Rice,161,41,Bergamo
152,Erica,Rodgers,150,36,Milano
153,Katherine,Rice,162,44,Bologna
154,Jason,Rich,150,31,Trento
155,John,Rodgers,169,44,Torino
156,Jason,Garrett,162,36,Milano
157,Jason,Oneill,162,44,Verona
158,James,Oneill,188,36,Bolzano
159,Jason,Rich,182,31,Bologna
160,Jason,Oneill,169,45,Verona
161,John,Rodgers,157,31,Torino
162,Katherine,Oneill,188,41,Torino
163,Dawn,Fox,150,45,Bergamo
164,James,Villanueva,157,45,Verona
165,John,Rodgers,152,49,Bologna
166,Beth,Lopez,157,41,Trento
167,John,Oneill,169,48,Trento
168,John,Snyder,173,34,Rovereto
169,Stephanie,Snyder,173,49,Trento
170,Michael,Garrett,150,45,Bergamo
171,Erica,Rich,182,42,Brescia
172,Stephanie,Rodgers,188,48,Rovereto
173,Dawn,Snyder,161,31,Trento
174,Larry,Snyder,161,42,Bergamo
175,James,Oneill,182,39,Bolzano
176,Erica,Villanueva,188,42,Verona
177,Dawn,Rich,169,49,Bologna
178,Jason,Lopez,162,42,Bolzano
179,Erica,Rich,152,34,Rovereto
180,Michael,Villanueva,177,36,Brescia
181,John,Lopez,182,41,Verona
182,Katherine,Atkins,177,44,Torino
183,Dawn,Snyder,182,39,Bologna
184,Katherine,Garrett,177,48,Bolzano
185,Dawn,Oneill,182,31,Trento
186,Beth,Garrett,182,44,Rovereto
187,Erica,Oneill,173,42,Bergamo
188,Erica,Rice,182,44,Bergamo
189,Michael,Rodgers,152,49,Brescia
190,Dawn,Villanueva,169,31,Milano
191,Beth,Atkins,177,31,Verona
192,Larry,Snyder,188,44,Venezia
193,John,Lopez,157,45,Bologna
194,Katherine,Fox,157,48,Torino
195,James,Rodgers,177,48,Bologna
196,Michael,Atkins,150,42,Milano
197,Jason,Atkins,162,48,Venezia
198,Larry,Snyder,152,41,Bolzano
199,Beth,Rodgers,188,41,Verona
